2376,29
3840,-30
3854,-30
3869,-31
3884,-32
3898,-32
3913,-32
3928,-32
3943,-31
3957,-30
4194,31
4208,37
4224,45
4238,52
4253,58
4268,65
4282,72
4297,79
4312,86
4327,92
4341,98
4357,104
4371,108
4386,113
4401,117
4416,120
4430,122
4445,124
4460,126
4474,126
4490,125
4504,124
4519,123
4534,120
4549,117
4563,113
4579,107
4593,102
4609,95
4623,87
4637,80
4653,71
4667,62
4682,52
4697,42
4712,31
4787,-34
4802,-49
4816,-63
4832,-78
4846,-93
4860,-106
4876,-121
4890,-134
4905,-145
4920,-157
4935,-167
4950,-175
4965,-184
4979,-190
4995,-195
5009,-200
5024,-202
5039,-203
5053,-202
5068,-200
5083,-198
5098,-194
5112,-188
5128,-183
5142,-176
5157,-168
5172,-158
5187,-149
5201,-139
5217,-128
5231,-116
5246,-104
5261,-91
5275,-77
5291,-63
5305,-48
5320,-33
5385,40
5400,59
5414,76
5430,94
5444,113
5459,131
5474,148
5489,166
5504,182
5519,199
5533,214
5549,227
5563,240
5577,252
5593,262
5607,271
5622,279
5637,285
5652,291
5666,294
5682,297
5696,298
5711,299
5726,298
5741,298
5755,295
5771,292
5785,288
5800,284
5815,279
5829,272
5844,266
5859,259
5874,250
5889,242
5904,233
5918,223
5934,212
5948,202
5963,190
5978,178
5993,166
6007,153
6022,139
6037,125
6051,110
6067,95
6081,80
6096,65
6111,49
6126,32
6181,-32
6196,-51
6210,-69
6225,-88
6240,-107
6255,-125
6269,-143
6285,-161
6299,-178
6315,-193
6329,-208
6344,-223
6359,-235
6374,-246
6388,-257
6404,-265
6418,-273
6433,-279
6448,-284
6462,-288
6477,-290
6492,-291
6507,-292
6521,-293
6537,-291
6551,-290
6566,-287
6581,-284
6596,-279
6610,-275
6626,-269
6640,-263
6656,-257
6670,-249
6685,-242
6700,-234
6715,-224
6729,-215
6744,-205
6759,-195
6773,-184
6789,-172
6803,-160
6818,-148
6833,-135
6848,-121
6862,-108
6878,-93
6892,-79
6907,-64
6922,-49
6937,-33
7002,41
7017,58
7031,75
7047,94
7061,112
7076,130
7091,147
7106,164
7120,180
7135,196
7150,211
7164,226
7180,239
7194,251
7209,261
7224,271
7239,280
7254,287
7269,292
7283,298
7299,302
7313,304
7328,306
7343,307
7357,307
7372,306
7387,305
7402,302
7416,299
7432,296
7446,291
7461,285
7476,280
7491,273
7505,266
7521,258
7535,250
7550,240
7565,231
7579,221
7595,210
7609,200
7624,187
7639,176
7654,163
7668,150
7684,137
7698,123
7713,108
7728,94
7743,78
7757,63
7773,47
7787,31
7842,-34
7857,-51
7872,-70
7886,-89
7902,-107
7916,-124
7931,-142
7946,-159
7961,-176
7975,-192
7991,-207
8005,-220
8019,-233
8035,-244
8049,-254
8065,-263
8079,-270
8094,-276
8109,-281
8124,-285
8138,-287
8154,-290
8168,-291
8183,-290
8198,-290
8213,-288
8227,-286
8243,-282
8257,-278
8272,-274
8287,-269
8302,-263
8316,-256
8331,-249
8346,-241
8360,-232
8376,-223
8380,-220
11260,48
11667,54
11682,54
11697,55
11712,54
11726,53
11742,51
11756,48
11771,45
11786,41
11801,36
11815,31
11921,-31
11935,-42
11951,-54
11965,-66
11980,-79
11995,-92
12010,-106
12024,-120
12039,-134
12054,-148
12068,-163
