572,1160,0,93,5,16,111,179
621,1126,0,93,5,16,111,175
626,1090,0,93,5,16,111,170
639,1059,0,93,5,16,111,165
657,1024,0,93,5,16,111,160
659,969,0,93,5,16,111,155
697,952,0,93,5,16,111,150
735,910,0,93,5,16,111,145
761,876,0,93,5,16,111,140
802,847,0,93,5,16,111,135
844,810,0,93,5,16,111,130
878,793,0,93,5,16,111,125
925,779,0,93,5,16,111,120
968,770,0,93,5,16,111,115
1017,763,0,93,5,16,111,110
1066,753,0,93,5,16,111,105
1106,751,0,93,5,16,111,100
1150,752,0,93,5,16,111,95
1189,766,0,93,5,16,111,90
1244,220,0,93,55,50,150,90
1171,219,0,93,55,50,150,95
1089,222,0,93,55,50,150,100
994,225,0,93,55,50,150,105
905,233,0,93,55,50,150,110
823,256,0,93,55,50,150,115
738,266,0,93,55,50,150,120
655,303,0,93,55,50,150,125
590,348,0,93,55,50,150,130
536,393,0,93,55,50,150,135
481,459,0,93,55,50,150,140
360,519,0,93,55,50,150,145
306,572,0,93,55,50,150,150
222,649,0,93,55,50,150,155
163,723,0,93,55,50,150,160
113,801,0,93,55,50,150,165
82,884,0,93,55,50,150,170
85,948,0,93,55,50,150,175
90,1032,0,93,55,50,150,180
1200,571,0,93,30,10,115,90
1152,558,0,93,30,10,115,95
1098,560,0,93,30,10,115,100
1047,568,0,93,30,10,115,105
981,588,0,93,30,10,115,110
921,575,0,93,30,10,115,115
868,623,0,93,30,10,115,120
808,635,0,93,30,10,115,125
739,660,0,93,30,10,115,130
683,701,0,93,30,10,115,135
647,742,0,93,30,10,115,140
599,775,0,93,30,10,115,145
546,807,0,93,30,10,115,150
527,853,0,93,30,10,115,155
507,897,0,93,30,10,115,160
482,961,0,93,30,10,115,165
458,1016,0,93,30,10,115,170
424,1070,0,93,30,10,115,175
412,1126,0,93,30,10,115,180

285, 1103, 0, 93, 25, 42, 135, 180
321, 1035, 0, 93, 25, 42, 135, 175
347, 970, 0, 93, 25, 42, 135, 170
366, 914, 0, 93, 25, 42, 135, 165
411, 850, 0, 93, 25, 42, 135, 160
435, 782, 0, 93, 25, 42, 135, 155
485, 736, 0, 93, 25, 42, 135, 150
519, 665, 0, 93, 25, 42, 135, 145
583, 641, 0, 93, 25, 42, 135, 140
646, 593, 0, 93, 25, 42, 135, 135
702, 538, 0, 93, 25, 42, 135, 130
748, 497, 0, 93, 25, 42, 135, 125
821, 483, 0, 93, 25, 42, 135, 120
883, 438, 0, 93, 25, 42, 135, 115
955, 441, 0, 93, 25, 42, 135, 110
1030, 422, 0, 93, 25, 42, 135, 105
1098, 399, 0, 93, 25, 42, 135, 100
1166, 417, 0, 93, 25, 42, 135, 95
1224, 427, 0, 93, 25, 42, 135, 90

