278,151, 0, 93, 50, 51, 154, 130
231, 322, 0, 93, 29, 29, 134, 153
275, 183, 0, 93, 31, 49, 143, 134
506, 114, 0, 93, 41, 42, 144, 97
621, 108, 0, 93, 55, 26, 136, 80
753, 95, 0, 93, 80, 46, 159, 59
720, 220, 0, 93, 41, 24, 132, 57
873,188, 0, 93, 75, 47, 158, 43
791, 239, 0, 93, 25, 41, 135, 44
824, 376, 0, 93, 35, 25, 131, 22
851, 440, 0, 93, 30, 29, 129, 6
983,425, 0, 93, 65, 45, 155, 7
498, 76, 0, 93, 71, 42, 158, 95
528,317, 0, 93, 14, 1, 115, 93
390, 352, 0, 93, 16, 2, 119, 133
320,420, 0, 93, 5, 10, 111, 165
309,475, 0, 93, 5, 10, 111, 180
328,442, 0, 93, 5, 10, 111, 170
349,421, 0, 93, 5, 10, 111, 160
359,387, 0, 93, 5, 10, 111, 150
377,360, 0, 93, 5, 10, 111, 140
409,344, 0, 93, 5, 10, 111, 130
439,324, 0, 93, 5, 10, 111, 120
474,314, 0, 93, 5, 10, 111, 110
511,308, 0, 93, 5, 10, 111, 100
541,315, 0, 93, 5, 10, 111,90
572,321, 0, 93, 5, 10, 111, 80
604,335, 0, 93, 5, 10, 111, 70
627,347, 0, 93, 5, 10, 111, 60
647,372, 0, 93, 5, 10, 111, 50
666,389, 0, 93, 5, 10, 111, 40
692,415, 0, 93, 5, 10, 111, 30
706,443, 0, 93, 5, 10, 111,20
724,475, 0, 93, 5, 10, 111,10
736,501, 0, 93, 5, 10, 111,1
